source_row,term,source_annotation,part_of_speech,source_comment,engine_tier,default_weight,standalone_flag,interpretation,source
1,accentuates,style,verb,,high_cluster_marker,1.0,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
3,achieving,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
4,acknowledges,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
5,acknowledging,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
6,across,style,preposition,,context_sensitive_cluster_marker,0.4,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
8,additionally,style,adverb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
9,address,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
10,addresses,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
11,addressing,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
12,adept,style,adjective,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
13,adhered,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
14,adhering,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
18,advancement,style,noun,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
19,advancements,style,noun,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
20,advancing,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
22,advocates,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
23,advocating,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
25,affirming,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
26,afflicted,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
28,aiding,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
29,aims,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
30,akin,style,adjective,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
31,align,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
32,aligning,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
33,aligns,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
34,alongside,style,preposition,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
36,amid,style,preposition,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
37,amidst,style,preposition,,high_cluster_marker,1.0,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
39,analysis,style,noun,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
41,announced,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
