rule_id,name,family,dimension,evidence_tier,association,severity,status,detector_kind,sections,rationale,revision
SCI-LEX-001,High-salience LLM-associated vocabulary cluster,lexical,style_pattern_burden,A,llm_associated,medium,implemented,lexical_cluster,*,Several empirically overrepresented style markers in a short span are more informative than any one word.,"Replace the cluster with concrete verbs, measured claims, or domain terms. Keep any term that is technically exact."
SCI-LEX-002,Broad corpus-marker saturation,lexical,style_pattern_burden,A,llm_associated,low,implemented,lexical_cluster,*,Common scientific words become informative only when many different corpus markers accumulate unusually densely.,Retain necessary technical terms; revise only redundant or evaluative wording that displaces substance.
SCI-LEX-003,Evaluative adjective pile,lexical,style_pattern_burden,B,mixed,medium,implemented,lexical_cluster,*,Multiple praise or importance adjectives substitute evaluation for evidence.,"Delete self-evaluation and state the result, comparison, or criterion that earns the adjective."
SCI-LEX-004,Metaphorical abstraction cluster,lexical,style_pattern_burden,B,mixed,low,implemented,lexical_cluster,*,"Metaphors such as landscape, tapestry, realm, and journey can accumulate into faux conceptual depth.","Name the actual system, population, process, or decision instead of stacking metaphors."
SCI-META-001,Importance-announcing meta-language,meta_template,style_pattern_burden,B,mixed,medium,implemented,phrase,*,The sentence announces importance rather than establishing it.,Delete the signpost and begin with the claim. Add evidence or a consequence where needed.
SCI-META-002,Section self-narration,meta_template,style_pattern_burden,B,mixed,low,implemented,regex,*,Narrating document movement is often unnecessary in short scientific prose.,"Replace navigation with the substantive claim, except where a long technical paper genuinely needs a roadmap."
SCI-META-003,Generic era-framing opener,meta_template,style_pattern_burden,B,mixed,medium,implemented,regex,*,The opener supplies generic contemporaneity rather than a study-specific problem.,"Open with the population, unresolved estimate, mechanism, or decision that motivates the study."
SCI-META-004,Contribution boilerplate,meta_template,style_pattern_burden,B,mixed,medium,implemented,regex,*,A contribution claim is empty unless it states what changed relative to prior work.,"Specify the new estimand, dataset, comparison, mechanism, method, or contradiction."
SCI-META-005,Generic implications boilerplate,meta_template,style_pattern_burden,B,mixed,medium,implemented,regex,*,"Generic impact language names no actor, decision, threshold, or action.","State who should do what, for whom, under which conditions, and on the basis of which result."
SCI-META-006,Future-research boilerplate,meta_template,style_pattern_burden,B,mixed,low,implemented,regex,*,A generic request for more research avoids specifying the unresolved identification or measurement problem.,"Name the missing population, comparison, mediator, time horizon, design, or source of uncertainty."
SCI-META-007,Generic conclusion formula,meta_template,style_pattern_burden,B,mixed,medium,implemented,regex,abstract|discussion|conclusion|*,The conclusion repeats a significance template instead of carrying forward the study’s actual result.,"Conclude with the estimate, boundary condition, mechanism, or decision consequence."
SCI-RHET-001,Mechanical paragraph-transition repetition,rhetoric_rhythm,style_pattern_burden,B,mixed,medium,implemented,transition_repetition,*,Repeated stock transitions create a templated cadence and may conceal weak logical relations.,"Remove the transition where sentence order is sufficient; otherwise name the actual relation: contrast, mechanism, exception, or consequence."
